ons_id,party_name,firstname,surname,votes,share,change
E14000532,Liberal Democrat,Jane,Brophy,4235,0.083833165,-0.170879041
E14000532,UK Independence Party,Chris,Frost,4047,0.080111646,0.048467485
E14000532,Green,Nick,Robertson-Brown,1983,0.039254112,
W07000043,Labour,Mark,Tami,16540,0.40034855,0.004486516
W07000043,Conservative,Laura,Knightly,13197,0.31943167,-0.003314617
W07000043,UK Independence Party,Blair,Smillie,7260,0.175727356,0.150453705
W07000043,Liberal Democrat,Tudor,Jones,1733,0.04194704,-0.141105336
W07000043,Plaid Cymru,Jacqueline,Hurst,1608,0.038921431,0.000121742
W07000043,Green,Alasdair,Ibbotson,976,0.023623953,
E14000533,Conservative,Nigel,Mills,20106,0.439792637,0.05365747
E14000533,Labour,Kevin,Gillott,15901,0.347813724,-0.026658621
E14000533,UK Independence Party,Stuart,Bent,7263,0.158868692,0.139155041
E14000533,Liberal Democrat,Kate,Smith,1360,0.029748234,-0.114644473
E14000533,Green,John,Devine,1087,0.023776713,
S14000004,Scottish National Party,Mike,Weir,24130,0.542430033,0.14675037
S14000004,Conservative,Derek,Wann,12900,0.289985388,-0.019234843
S14000004,Labour,Gerard,McMahon,3919,0.088097111,-0.084057789
S14000004,UK Independence Party,Calum,Walker,1355,0.030459706,0.015259495
S14000004,Liberal Democrat,Sanjay ,Samani,1216,0.027335057,-0.080409938
S14000004,Green,David,Mumford,965,0.021692705,
W07000057,Plaid Cymru,Hywel,Williams,11790,0.439318851,0.079513651
W07000057,Labour,Alun,Pugh,8122,0.302641875,-0.001369169
W07000057,Conservative,Anwen,Barry,3521,0.131199463,-0.038138676
W07000057,UK Independence Party,Simon,Wall,2277,0.084845549,0.058578197
W07000057,Liberal Democrat,Mohammed,Shultan,718,0.026754108,-0.113824157
W07000057,Socialist Labour Party,Kathrine,Jones,409,0.015240154,
S14000005,Scottish National Party,Brendan,O'Hara,22959,0.442514889,0.253097321
S14000005,Liberal Democrat,Alan,Reid,14486,0.279205135,-0.036940595
S14000005,Conservative,Alastair,Redman,7733,0.149046894,-0.09120351
S14000005,Labour,Mary,Galbraith,5394,0.10396469,-0.123300999
S14000005,UK Independence Party,Caroline,Santos,1311,0.025268392,
E14000534,Conservative,Nick,Herbert,34331,0.607875772,0.030315128
E14000534,UK Independence Party,Peter,Grace,8154,0.144377357,0.087716288
E14000534,Labour,Christopher,Wellbelove,6324,0.111974786,0.02560774
E14000534,Liberal Democrat,Shweta,Kapadia,4062,0.071923084,-0.207488156
E14000534,Green,Isabel,Thurston,3606,0.063849,
E14000535,Labour,Gloria,De Piero,19448,0.410217469,0.073280794
E14000535,Conservative,Helen,Harrison,10628,0.224176844,0.002208216
